site,impact types,quadrat,julian day,burrow number,burrow density,latitude,longitude,day,month,year
N. Myrtle Beach 2,HV,T2,193,5,0.1,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T3,193,1,0.02,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T3,193,4,0.08,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T3,193,2,0.04,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T4,193,2,0.04,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T4,193,2,0.04,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T4,193,4,0.08,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T5,193,6,0.12,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T5,193,6,0.12,33.801645,-78.711638,11,July,2016
N. Myrtle Beach 2,HV,T5,193,8,0.16,33.801645,-78.711638,11,July,2016
Garden City Beach,HV,T1,184,12,0.24,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T1,184,7,0.14,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T1,184,10,0.2,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T2,184,4,0.08,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T2,184,5,0.1,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T2,184,5,0.1,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T3,184,4,0.08,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T3,184,3,0.06,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T3,184,6,0.12,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T4,184,5,0.1,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T4,184,6,0.12,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T4,184,6,0.12,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T5,184,10,0.2,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T5,184,10,0.2,33.57457072,-79.000082,2,July,2016
Garden City Beach,HV,T5,184,13,0.26,33.57457072,-79.000082,2,July,2016
